Pricing Date,Issuer Ticker,Issuer Name,Offer Size (M),Offer Price,Offer To 1st Close,Initial Pub Offer (Shares Offered),Bookrunner,Industry Sector,Market Cap at Offer (M),Instit Owner (% Shares Out),Primary Exchange
12/16/09,KRA US,Kraton Corp,150.946,13.5,0.074074075,10294100.00,"UBS, BofA Securities, Morgan Stanley, Oppenheimer & Co",Basic Materials,413.05,6.27128, 
12/15/09,CIEIQ US,Cobalt International Energy Inc,958.203,13.5,0,63000000.00,"JP Morgan, UBS, Goldman Sachs",Energy,4645.93,0.0628809, 
12/15/09,2556796D US,Team Health Holdings Inc,183.54,12,6.75,13300000.00,"Barclays, Goldman Sachs, BofA Securities, Citi","Consumer, Non-cyclical",772.75,, 
12/10/09,OPLN US,OPENLANE Inc,331.873,12,0.25,25000000.00,"Goldman Sachs, UBS, BofA Securities, JP Morgan, Barclays, BMO Capital Markets","Consumer, Cyclical",331.87,109.811,New York
12/8/09,PEB US,Pebblebrook Hotel Trust,402.5,20,2.25,17500000.00,"BofA Securities, Raymond James & Associates, Wells Fargo",Financial,405.5,116.512,New York
11/24/09,JLS US,Nuveen Mortgage and Income Fund,395,25,0,14000000.00,Wells Fargo,Financial,0,46.9579,New York
11/24/09,STK US,Columbia Seligman Premium Technology Growth Fund Inc,286,20,0.050000001,13100000.00,Wells Fargo,Financial,0,16.0402,New York
11/23/09,GDO US,Western Asset Global Corporate,302,20,0.150000006,14000000.00,"BofA Securities, Morgan Stanley, Citi",Financial,302,38.9926,New York
11/19/09,CLDPQ US,Cloud Peak Energy Inc,459,15,-1.066666722,30600000.00,"RBC Capital Markets, UBS, Morgan Stanley",Energy,471.47,0.00053589, 
11/19/09,ARCL US,Archipelago Learning Inc,118.594,16.5,13.75757599,6250000.00,"BofA Securities, William Blair & Co LLC",Communications,414.26,, 
11/19/09,1762363D US,Sotera Defense Solutions Inc,59.8,13,0.615384638,4600000.00,TD Securities,Communications,117.47,, 
11/17/09,FTNT US,Fortinet Inc,179.688,12.5,32.95999908,12500000.00,"Morgan Stanley, JP Morgan, Deutsche Bank",Technology,828.36,73.378,NASDAQ GS
11/12/09,DG US,Dollar General Corp,823.515,21,8.238095284,34100000.00,"Kohlberg Kravis Roberts & Co, Goldman Sachs, Citi, BofA Securities, JP Morgan","Consumer, Cyclical",7153.55,109.922,New York
11/12/09,RUE US,rue21 inc,147.825,19,27.89473724,6765440.00,"Goldman Sachs, BofA Securities, JP Morgan","Consumer, Cyclical",459.05,, 
11/6/09,STRI US,STR Holdings Inc,139.95,10,31,12300000.00,"UBS, Goldman Sachs",Industrial,413.5,, 
11/4/09,H US,Hyatt Hotels Corp,1092.5,25,12,38000000.00,Goldman Sachs,"Consumer, Cyclical",4343.5,142.262,New York
11/4/09,ACOM US,Ancestry.com Inc,100,13.5,5.185184956,7407410.00,"Morgan Stanley, BofA Securities",Communications,572.44,2.50126, 
10/27/09,VSI US,Vitamin Shoppe Inc,177.828,17,5.588235378,9096080.00,"BofA Securities, Barclays, JP Morgan","Consumer, Cyclical",451.73,, 
10/27/09,ADUS US,Addus HomeCare Corp,54,10,-15.10000038,5400000.00,"Robert W Baird & Co, Oppenheimer & Co","Consumer, Non-cyclical",104.96,115.991,NASDAQ GS
10/22/09,1544310D US,Dole Food Co Inc,446.438,12.5,-1.75999999,35715000.00,"Goldman Sachs, BofA Securities, Deutsche Bank, Wells Fargo","Consumer, Non-cyclical",1092.81,, 
10/20/09,AGAM US,AGA Medical Holdings Inc,199.375,14.5,0.689655185,13750000.00,"BofA Securities, Citi, Deutsche Bank, Leerink Partners LLC, Wells Fargo","Consumer, Non-cyclical",725.37,, 
10/19/09,PMIC US,Penn Millers Holding Corp,54,10,7.5,5400000.00,Griffin Financial Group,Financial,0,, 
10/16/09,BUR LN,Burford Capital Ltd,127.112,100,7.5,80000000.00,Macquarie,Financial,0,95.6897,London
10/12/09,1467202D US,RailAmerica Inc,330,15,-8.333333015,22000000.00,"Citi, Deutsche Bank, JP Morgan, Morgan Stanley",Industrial,815.2,, 
10/7/09,MG US,Mistras Group Inc,125,12.5,0.639999986,8700000.00,"JP Morgan, BofA Securities, UBS",Industrial,330.74,57.337,New York
10/7/09,OMER US,Omeros Corp,68.2,10,-12.69999981,6820000.00,Deutsche Bank,"Consumer, Non-cyclical",212.88,47.8166,NASDAQ GM
10/6/09,VRSK US,Verisk Analytics Inc,2155.91,22,23.72727203,85250000.00,"BofA Securities, Morgan Stanley","Consumer, Non-cyclical",2487.67,103.492,NASDAQ GS
10/1/09,ECHO US,Echo Global Logistics Inc,79.8,14,0.428571433,5700000.00,"UBS, Morgan Stanley",Industrial,300.912,, 
9/30/09,TLCR US,Talecris Biotherapeutics Holdings Corp,1064,19,11.31578922,50000000.00,"Morgan Stanley, Goldman Sachs, Citi, JP Morgan","Consumer, Non-cyclical",2389.9,, 
9/24/09,SEM US,Select Medical Holdings Corp,336.027,10,0.899999976,30000000.00,"Goldman Sachs, Morgan Stanley, JP Morgan, BofA Securities","Consumer, Non-cyclical",1596.96,71.6023,New York
